round, agent, score
23, AlwaysHoldAgent, 7
23, PerfectionistAgent, -55
23, OneStepLookAheadAgent, 14
23, RiskyAgent, 14
23, CautiousAgent, 13
23, MarkovDecisionProcessAgent, 17
23, MarkovDecisionProcessAgentAdjusted, 17
24, AlwaysHoldAgent, 10
24, PerfectionistAgent, -68
24, OneStepLookAheadAgent, 13
24, RiskyAgent, 13
24, CautiousAgent, 13
24, MarkovDecisionProcessAgent, 12
24, MarkovDecisionProcessAgentAdjusted, 12
25, AlwaysHoldAgent, 16
25, PerfectionistAgent, -46
25, OneStepLookAheadAgent, 16
25, RiskyAgent, 16
25, CautiousAgent, 16
25, MarkovDecisionProcessAgent, 16
25, MarkovDecisionProcessAgentAdjusted, 16
26, AlwaysHoldAgent, 7
26, PerfectionistAgent, -183
26, OneStepLookAheadAgent, 9
26, RiskyAgent, 9
26, CautiousAgent, 9
26, MarkovDecisionProcessAgent, 12
26, MarkovDecisionProcessAgentAdjusted, 12
27, AlwaysHoldAgent, 14
27, PerfectionistAgent, 6
27, OneStepLookAheadAgent, 14
27, RiskyAgent, 14
27, CautiousAgent, 14
27, MarkovDecisionProcessAgent, 14
27, MarkovDecisionProcessAgentAdjusted, 14
28, AlwaysHoldAgent, 8
28, PerfectionistAgent, -31
28, OneStepLookAheadAgent, 11
28, RiskyAgent, 11
28, CautiousAgent, 11
28, MarkovDecisionProcessAgent, 16
28, MarkovDecisionProcessAgentAdjusted, 16
29, AlwaysHoldAgent, 12
29, PerfectionistAgent, -19
29, OneStepLookAheadAgent, 12
29, RiskyAgent, 12
29, CautiousAgent, 12
29, MarkovDecisionProcessAgent, 12
29, MarkovDecisionProcessAgentAdjusted, 12
30, AlwaysHoldAgent, 13
30, PerfectionistAgent, -110
30, OneStepLookAheadAgent, 13
30, RiskyAgent, 13
30, CautiousAgent, 13
30, MarkovDecisionProcessAgent, 13
30, MarkovDecisionProcessAgentAdjusted, 13
31, AlwaysHoldAgent, 7
31, PerfectionistAgent, -3
31, OneStepLookAheadAgent, 10
31, RiskyAgent, 10
31, CautiousAgent, 10
31, MarkovDecisionProcessAgent, 10
31, MarkovDecisionProcessAgentAdjusted, 10
32, AlwaysHoldAgent, 9
32, PerfectionistAgent, -23
32, OneStepLookAheadAgent, 10
32, RiskyAgent, 10
32, CautiousAgent, 9
32, MarkovDecisionProcessAgent, 15
32, MarkovDecisionProcessAgentAdjusted, 15
33, AlwaysHoldAgent, 11
33, PerfectionistAgent, -56
33, OneStepLookAheadAgent, 11
33, RiskyAgent, 11
33, CautiousAgent, 11
33, MarkovDecisionProcessAgent, 16
33, MarkovDecisionProcessAgentAdjusted, 16
34, AlwaysHoldAgent, 14
34, PerfectionistAgent, -44
34, OneStepLookAheadAgent, 14
34, RiskyAgent, 14
34, CautiousAgent, 14
34, MarkovDecisionProcessAgent, 14
34, MarkovDecisionProcessAgentAdjusted, 14
35, AlwaysHoldAgent, 15
35, PerfectionistAgent, -34
35, OneStepLookAheadAgent, 15
35, RiskyAgent, 15
35, CautiousAgent, 15
35, MarkovDecisionProcessAgent, 15
35, MarkovDecisionProcessAgentAdjusted, 15
36, AlwaysHoldAgent, 14
36, PerfectionistAgent, -2
36, OneStepLookAheadAgent, 17
36, RiskyAgent, 17
36, CautiousAgent, 17
36, MarkovDecisionProcessAgent, 17
36, MarkovDecisionProcessAgentAdjusted, 17
37, AlwaysHoldAgent, 9
37, PerfectionistAgent, -49
37, OneStepLookAheadAgent, 12
37, RiskyAgent, 12
37, CautiousAgent, 12
37, MarkovDecisionProcessAgent, 16
37, MarkovDecisionProcessAgentAdjusted, 16
38, AlwaysHoldAgent, 12
38, PerfectionistAgent, 12
38, OneStepLookAheadAgent, 12
38, RiskyAgent, 12
38, CautiousAgent, 12
38, MarkovDecisionProcessAgent, 12
38, MarkovDecisionProcessAgentAdjusted, 12
39, AlwaysHoldAgent, 11
39, PerfectionistAgent, -59
39, OneStepLookAheadAgent, 11
39, RiskyAgent, 11
39, CautiousAgent, 11
39, MarkovDecisionProcessAgent, 15
39, MarkovDecisionProcessAgentAdjusted, 15
40, AlwaysHoldAgent, 7
40, PerfectionistAgent, -33
40, OneStepLookAheadAgent, 11
40, RiskyAgent, 11
40, CautiousAgent, 11
40, MarkovDecisionProcessAgent, 11
40, MarkovDecisionProcessAgentAdjusted, 11
41, AlwaysHoldAgent, 7
41, PerfectionistAgent, -95
41, OneStepLookAheadAgent, 11
41, RiskyAgent, 11
41, CautiousAgent, 11
41, MarkovDecisionProcessAgent, 10
41, MarkovDecisionProcessAgentAdjusted, 10
42, AlwaysHoldAgent, 15
42, PerfectionistAgent, -18
42, OneStepLookAheadAgent, 15
42, RiskyAgent, 15
42, CautiousAgent, 15
42, MarkovDecisionProcessAgent, 15
42, MarkovDecisionProcessAgentAdjusted, 15
43, AlwaysHoldAgent, 11
43, PerfectionistAgent, -49
43, OneStepLookAheadAgent, 11
43, RiskyAgent, 11
43, CautiousAgent, 11
43, MarkovDecisionProcessAgent, 14
43, MarkovDecisionProcessAgentAdjusted, 14
44, AlwaysHoldAgent, 8
44, PerfectionistAgent, -4
44, OneStepLookAheadAgent, 13
44, RiskyAgent, 13
44, CautiousAgent, 12
44, MarkovDecisionProcessAgent, 13
44, MarkovDecisionProcessAgentAdjusted, 13
45, AlwaysHoldAgent, 11
45, PerfectionistAgent, -17
45, OneStepLookAheadAgent, 11
45, RiskyAgent, 11
45, CautiousAgent, 11
45, MarkovDecisionProcessAgent, 11
45, MarkovDecisionProcessAgentAdjusted, 11
46, AlwaysHoldAgent, 15
46, PerfectionistAgent, -52
46, OneStepLookAheadAgent, 15
46, RiskyAgent, 15
46, CautiousAgent, 15
46, MarkovDecisionProcessAgent, 15
46, MarkovDecisionProcessAgentAdjusted, 15
47, AlwaysHoldAgent, 8
47, PerfectionistAgent, 16
47, OneStepLookAheadAgent, 10
47, RiskyAgent, 10
47, CautiousAgent, 10
47, MarkovDecisionProcessAgent, 15
